Abarth | Abarth 1500 Biposto Bertone B.A.T 1 '52
Abarth | Abarth 500 '09
Abarth | FIAT Abarth 595 Esseesse '70
Afeela | AFEELA 1 '26
Afeela | AFEELA Prototype 2024
Alfa Romeo | Alfa Romeo 155 2.5 V6 TI '93 (Gr.4)
Alfa Romeo | Alfa Romeo 4C Gr.3 (Gr.3)
Alfa Romeo | Alfa Romeo 4C Gr.3 Road Car
Alfa Romeo | Alfa Romeo 4C Gr.4 (Gr.4)
Alfa Romeo | Alfa Romeo 4C Launch Edition '14
Alfa Romeo | Alfa Romeo 8C 2900B Touring Berlinetta '38
Alfa Romeo | Alfa Romeo 8C Competizione '08
Alfa Romeo | Alfa Romeo Giulia GTAm '20
Alfa Romeo | Alfa Romeo Giulia Sprint GT Veloce '67
Alfa Romeo | Alfa Romeo GIULIA TZ2 carrozzata da ZAGATO '65
Alfa Romeo | Alfa Romeo MiTo 1.4 T Sport '09
Alpine | Alpine A110 1600S '72
Alpine | Alpine A110 Première Édition '17
Alpine | Alpine A220 Race Car '68
Alpine | Alpine Vision Gran Turismo
Alpine | Alpine Vision Gran Turismo 2017 (Gr.1)
Alpine | Alpine Vision Gran Turismo Race Mode
AMG | Mercedes-AMG C 63 S '15
AMG | Mercedes-AMG GT Black Series '20
AMG | Mercedes-AMG GT R '17
AMG | Mercedes-AMG GT S '15
AMG | Mercedes-AMG GT Safety Car
AMG | Mercedes-AMG GT3 '16 (Gr.3)
AMG | Mercedes-AMG GT3 '20 (Gr.3)
AMG | Mercedes-Benz 300 SEL 6.8 AMG '71
AMG | Mercedes-Benz A 45 AMG 4MATIC '13
AMG | Mercedes-Benz AMG Vision Gran Turismo
AMG | Mercedes-Benz AMG Vision Gran Turismo Racing Series
AMG | Mercedes-Benz SLS AMG '10
AMG | Mercedes-Benz SLS AMG Gr.4 (Gr.4)
AMG | Mercedes-Benz SLS AMG GT3 '11 (Gr.3)
Amuse | Amuse NISMO 380RS Super Leggera
Amuse | Amuse S2000 GT1 Turbo
Aston Martin | Aston Martin DB11 '16
Aston Martin | Aston Martin DB3S '53
Aston Martin | Aston Martin DB5 '64
Aston Martin | Aston Martin DBR9 GT1 '10 (Gr.3)
Aston Martin | Aston Martin DP-100 Vision Gran Turismo
Aston Martin | Aston Martin One-77 '11
Aston Martin | Aston Martin V12 Vantage GT3 '12 (Gr.3)
Aston Martin | Aston Martin V8 Vantage S '15
Aston Martin | Aston Martin Valkyrie '21
Aston Martin | Aston Martin Vantage '18
Aston Martin | Aston Martin Vantage Gr.4 (Gr.4)
Aston Martin | Aston Martin Vulcan '16
Audi | Audi e-tron Vision Gran Turismo
Audi | Audi R18 '16 (Gr.1)
Audi | Audi R18 TDI '11 (Gr.1)
Audi | Audi R8 4.2 FSI R tronic '07
Audi | Audi R8 Coupé V10 plus '16
Audi | Audi R8 LMS '15 (Gr.3)
Audi | Audi R8 LMS Evo '19 (Gr.3)
Audi | Audi RS 5 Turbo DTM '19 (Gr.2)
Audi | Audi Sport quattro S1 Pikes Peak '87 (Gr.B)
Audi | Audi TT Coupé 3.2 quattro '03
Audi | Audi TT Cup '16 (Gr.4)
Audi | Audi TTS Coupé '09
Audi | Audi TTS Coupé '14
Audi | Audi Vision Gran Turismo (Gr.1)
Autobianchi | Autobianchi A112 Abarth '85
BAC | BAC Mono '16
BMW | BMW 3.0 CSL '71
BMW | BMW 3.0 CSL '73
BMW | BMW i3 '15
BMW | BMW M Hybrid V8 '25 (Gr.1)
BMW | BMW M2 Competition '18
BMW | BMW M3 '89
BMW | BMW M3 '97
BMW | BMW M3 Coupé '03
BMW | BMW M3 Coupé '07
BMW | BMW M3 GT '11 (Gr.3)
BMW | BMW M3 Sport Evolution '89
BMW | BMW M4 Coupé '14
BMW | BMW M4 Gr.4 (Gr.4)
BMW | BMW M4 Safety Car
BMW | BMW M6 GT3 Endurance Model '16 (Gr.3)
BMW | BMW M6 GT3 Sprint Model '16 (Gr.3)
BMW | BMW McLaren F1 GTR Race Car '97 (Gr.2)
BMW | BMW Vision Gran Turismo
BMW | BMW Z4 3.0i '03
BMW | BMW Z4 GT3 '11 (Gr.3)
BMW | BMW Z8 '01
Bugatti | Bugatti Chiron '16
Bugatti | Bugatti Veyron 16.4 '13
Bugatti | Bugatti Veyron Gr.4 (Gr.4)
Bugatti | Bugatti Vision Gran Turismo
Bugatti | Bugatti Vision Gran Turismo (Gr.1) (Gr.1)
BVLGARI | BVLGARI Aluminium Vision Gran Turismo
Chaparral | Chaparral 2J '70
Chaparral | Chevrolet Chaparral 2X Vision Gran Turismo
Chevrolet | Chevrolet Camaro 1969 Race-Mod
Chevrolet | Chevrolet Camaro SS '16
Chevrolet | Chevrolet Camaro Z28 '69
Chevrolet | Chevrolet Camaro ZL1 1LE Package '18
Chevrolet | Chevrolet Chevelle SS 454 Sport Coupé '70
Chevrolet | Chevrolet Corvette (C1) '58
Chevrolet | Chevrolet Corvette C7 Gr.3 (Gr.3)
Chevrolet | Chevrolet Corvette C7 Gr.3 Road Car
Chevrolet | Chevrolet Corvette C7 Gr.4 (Gr.4)
Chevrolet | Chevrolet Corvette C7 Stingray '14
Chevrolet | Chevrolet Corvette C7 ZR1 '19
Chevrolet | Chevrolet Corvette C8 Stingray '20
Chevrolet | Chevrolet Corvette CX Concept '25
Chevrolet | Chevrolet Corvette CX.R Vision Gran Turismo Concept
Chevrolet | Chevrolet Corvette Sting Ray Sport Coupe (C2) '63
Chevrolet | Chevrolet Corvette Stingray Convertible (C3) '69
Chevrolet | Chevrolet Corvette Stingray L46 350 (C3) '69
Chevrolet | Chevrolet Corvette Stingray Racer Concept '59
Chevrolet | Chevrolet Corvette Z06 (C5) '01
Chevrolet | Chevrolet Corvette ZR-1 (C4) '89
Chevrolet | Chevrolet Corvette ZR1 (C6) '09
Chris Holstrom Concepts | Chris Holstrom Concepts 1967 Chevy Nova
Citroën | Citroën BX 19 TRS '87
Citroën | Citroën DS 21 Pallas '70
Citroën | GT by Citroën Gr.4 (Gr.4)
Citroën | GT by Citroën Race Car (Gr.3) (Gr.3)
Citroën | GT by Citroën Road Car
Daihatsu | Daihatsu Copen Active Top '02
Daihatsu | DAIHATSU COPEN RJ Vision Gran Turismo
De Tomaso | De Tomaso Mangusta (Christian Dior)
De Tomaso | De Tomaso Mangusta '69
De Tomaso | De Tomaso Pantera '71
DMC | DMC DeLorean S2 '04
Dodge | Dodge Challenger R/T '70
Dodge | Dodge Challenger SRT Demon '18
Dodge | Dodge Charger R/T 426 Hemi '68
Dodge | Dodge Charger SRT Hellcat '15
Dodge | Dodge Charger SRT Hellcat Safety Car
Dodge | Dodge SRT Tomahawk GTS-R Vision Gran Turismo
Dodge | Dodge SRT Tomahawk S Vision Gran Turismo
Dodge | Dodge SRT Tomahawk Vision Gran Turismo (Gr.1) (Gr.1)
Dodge | Dodge SRT Tomahawk X Vision Gran Turismo
Dodge | Dodge Super Bee '70
Dodge | Dodge Viper Gr.4 (Gr.4)
Dodge | Dodge Viper GTS '02
Dodge | Dodge Viper GTS '13
Dodge | Dodge Viper SRT GT3-R '15 (Gr.3)
Dodge | Dodge Viper SRT10 Coupe '06
DS Automobiles | DS 3 Racing '11
Eckert's Rod & Custom | Eckert's Rod & Custom Mach Forty
Ferrari | Enzo Ferrari '02
Ferrari | Ferrari 250 GT Berlinetta passo corto '61
Ferrari | Ferrari 250 GTO '62
Ferrari | Ferrari 296 GT3 '23 (Gr.3)
Ferrari | Ferrari 296 GTB '22
Ferrari | Ferrari 308 GTB '75
Ferrari | Ferrari 330 P4 '67
Ferrari | Ferrari 365 GTB4 '71
Ferrari | Ferrari 430 Scuderia '07
Ferrari | Ferrari 458 Italia '09
Ferrari | Ferrari 458 Italia Gr.4 (Gr.4)
Ferrari | Ferrari 458 Italia GT3 '13 (Gr.3)
Ferrari | Ferrari 499P '23 (Gr.1)
Ferrari | Ferrari 500 Mondial Pinin Farina Coupe '54
Ferrari | Ferrari 512 BB '76
Ferrari | Ferrari 812 Superfast '17
Ferrari | Ferrari Dino 246 GT '71
Ferrari | Ferrari F12berlinetta '12
Ferrari | Ferrari F40 '92
Ferrari | Ferrari F430 '06
Ferrari | Ferrari F50 '95
Ferrari | Ferrari F8 Tributo '19
Ferrari | Ferrari FXX K '14
Ferrari | Ferrari GTO '84
Ferrari | Ferrari LaFerrari '13
Ferrari | Ferrari Testarossa '91
Ferrari | Ferrari Vision Gran Turismo
Fiat | FIAT 500 1.2 8V Lounge SS '08
Fiat | FIAT 500 F '68
Fiat | FIAT Panda 30 CL '85
Ford | 1932 Ford Roadster
Ford | Ford Escort RS Cosworth '92
Ford | Ford F-150 SVT Raptor '11
Ford | Ford Focus Gr.B Rally Car (Gr.B)
Ford | Ford Focus RS '18
Ford | Ford Focus ST '15
Ford | Ford GT '06
Ford | Ford GT '17
Ford | Ford GT LM Race Car Spec II (Gr.3)
Ford | Ford GT LM Spec II Test Car (Gr.3)
Ford | Ford GT Race Car '18 (Gr.3)
Ford | Ford GT40 Mark I '66
Ford | Ford Mark IV Race Car '67
Ford | Ford Mustang 2015 American Racer
Ford | Ford Mustang Boss 429 '69
Ford | Ford Mustang Gr.3 (Gr.3)
Ford | Ford Mustang Gr.3 Road Car
Ford | Ford Mustang Gr.4 (Gr.4)
Ford | Ford Mustang Gr.B Rally Car (Gr.B)
Ford | Ford Mustang GT Premium Fastback '15
Ford | Ford Mustang Mach 1 '71
Ford | Ford Shelby GT350R '16
Ford | Ford Sierra RS 500 Cosworth '87
Garage RCR | Garage RCR Civic
Genesis | Genesis G70 3.3T AWD Prestige Package '22
Genesis | Genesis G70 GR4 (Gr.4)
Genesis | Genesis X GR3 (Gr.3)
Genesis | Genesis X Gran Berlinetta Vision Gran Turismo Concept
Genesis | Genesis X Gran Racer Vision Gran Turismo Concept (Gr.1)
Gran Turismo | Gran Turismo F1500T-A
Gran Turismo | Gran Turismo F3500-A
Gran Turismo | Gran Turismo F3500-B
Gran Turismo | Gran Turismo Racing Kart 125 Shifter
Gran Turismo | Gran Turismo Red Bull X2014 Junior
Gran Turismo | Gran Turismo Red Bull X2014 Standard
Gran Turismo | Gran Turismo Red Bull X2019 25th Anniversary
Gran Turismo | Gran Turismo Red Bull X2019 Competition
GReddy | GReddy Fugu Z
Greening Auto Company | Greening Auto Company Maverick
Honda | Honda Beat '91
Honda | Honda Civic Si Extra (EF) '87
Honda | Honda Civic SiR･II (EG) '93
Honda | Honda Civic Type R (EK) '97
Honda | Honda Civic Type R (EK) '98
Honda | Honda Civic Type R (EK) Touring Car
Honda | Honda Civic Type R (FK2) '15
Honda | Honda Civic Type R (FL5) '22
Honda | Honda Civic Type R Limited Edition (FK8) '20
Honda | Honda CR-V e:HEV EX・Black Edition '21
Honda | Honda Fit Hybrid '14
Honda | Honda Integra Type R (DC2) '95
Honda | Honda Integra Type R (DC2) '98
Honda | Honda N-ONE RS '22
Honda | Honda NSX '17
Honda | Honda NSX CONCEPT-GT '16 (Gr.2)
Honda | Honda NSX Gr.3 (Gr.3)
Honda | Honda NSX Gr.4 (Gr.4)
Honda | Honda NSX Gr.B Rally Car (Gr.B)
Honda | Honda NSX GT500 '00 (Gr.3)
Honda | Honda NSX GT500 '08 (Gr.2)
Honda | Honda NSX Type R '02
Honda | Honda NSX Type R '92
Honda | Honda Project 2&4 powered by RC213V
Honda | Honda RA272 '65
Honda | Honda S2000 '99
Honda | Honda S660 '15
Honda | Honda S800 '66
Honda | Honda Sports Vision Gran Turismo
Hyundai | Hyundai ELANTRA N '23
Hyundai | Hyundai ELANTRA N TC '24 (Gr.4)
Hyundai | Hyundai Genesis Coupe 3.8 Track '13
Hyundai | Hyundai Genesis Gr.3 (Gr.3)
Hyundai | Hyundai Genesis Gr.4 (Gr.4)
Hyundai | Hyundai Genesis Gr.B Rally Car (Gr.B)
Hyundai | Hyundai IONIQ 5 N '24
Hyundai | HYUNDAI N 2025 Vision Gran Turismo
Hyundai | HYUNDAI N 2025 Vision Gran Turismo (Gr.1) (Gr.1)
Infiniti | INFINITI CONCEPT Vision Gran Turismo
Italdesign | Italdesign EXENEO Vision Gran Turismo Off-road Mode
Italdesign | Italdesign EXENEO Vision Gran Turismo Street Mode
Jaguar | Jaguar D-type '54
Jaguar | Jaguar E-type Coupé '61
Jaguar | Jaguar F-type Gr.3 (Gr.3)
Jaguar | Jaguar F-type Gr.4 (Gr.4)
Jaguar | Jaguar F-type R Coupé '14
Jaguar | Jaguar Vision Gran Turismo Coupé
Jaguar | Jaguar Vision Gran Turismo Roadster
Jaguar | Jaguar Vision Gran Turismo SV
Jaguar | Jaguar XJ13 '66
